target,text
p,@aimzy24 I know *excited*! Silas is really yummy too haha 
n,"bye twitter world! maths is finished, which means no more laptop "
n,"@pmross Sorry, tested the wrong is.gd link. Try this: http://is.gd/14kgO - had additional 'n' "
n,#rsc2009 Bummer! No coffee in the workshops section at the Swan hotel 
n,Extremely jealous... 
p,"@curmudgeonlaine OMG Yes, sorry for deactivating Facebook w/out announcing... duty calls, duty like the Bar Exam! "
p,watching the mtv movie awards. no signs of the jobros. :[ congrats to @mileycyrus @ashleytisdale &amp;&amp; others!. cnt wait for new moon btw!. 
p,"@eBeth Oh, why'd you need cheering? Titstitstitstitstitstitstitstitstitstitstitstitstitstitstitstitstitstitstitstitstitstitstitstitstits "
n,has not tweeted in a bit.. heading out into the rain soon 
p,"so I wont be at @MTUB til at least 9ish, I'm thinking. may keep you posted.. maybe. oh come now, I'm never reliable. but I will be there! "
n,"Actually it's not just a #v2powercut, it's everywhere in Vashi, maybe even Navi Mumbai Power is expected to return only after 4 pm "
p,Taking the family for their summer hair cuts 
p,Watching the Microsoft E3 press conference:  http://bit.ly/U5Xip   Modern Warfare 2 looks gooooood! 
n,'britney spears - for the record' comes out tomorow on DVD and I really want it but we haven't preordered  xxx
p,"Now, four subjects left. Then, I'll be heading home. Yayy! "
p,@jenspeedy how exciting! Congratulations 
n,is so scared to become involved with someone !! not keen on the fighting and the hurting  ... 2nd fear is snakes
p,Aaaah... Im very tired... I will sleep 12 hours  xD .... Internet is very hmm..
n,Something bit me on the hand and it itches like crazy 
p,@the_undead sweet yo. Btw when i get there im waking u up for a hug 
n,@biancaelen The girl they did it on didn't win  It is kinda funny in a twisted way. I wonder if there faces get sore?
n,Last full day of vacation before we leave tomorrow. It went way too fast.  Thankfully it's a tropical sunny day.
p,@lenanj You are lucky! I want that album! 
n,i am very disappointed at president Oba ma for not wanting to help Iran  this may be the only chance for iran to have freedom !
n,So upset that I called my empa. Oh my. Goodnight 
n,"@LexaDawn where did you see his drawing? and um me, I cry like a baby. I can't help it though "
n,why do I always sleep in  I have to leave in 16 minutes!
p,i want another tattoo. and i only hit the &quot;legal with parental consent&quot; age 6 days ago. D:  ?
n,Tummy is feeling So uncomfortable.. I wonder why.. Been having stitch-like pains lately too..  goin home early to rest.. - http://tweet.sg
p,i found one that is very graceful aahahahaa 
p,"Chatting with a good friend, Bea Chua!!! "
n,I wish I was part of miley world but I'm not  
n,Cooking hamburgers on the stove .. I'm not good at it because I'm eating them in pieces ..  There suppose to be patties 
p,watching titanic with my roommates 
p,"Yay! My Screwattack DVD finally arrived, and it's signed too! "
p,"Hey @jonasbrothers Can you give a shout out to Nicole from Perth, Australia!  #jonasliveonfb"
p,Yo some people just talk so much nonsense on twitter that no one cares about like ya corny shutup! currently gettin dressed for wrk 
p,in the last five seconds Ryan makes and appearence... 
p,Hiye I am jessica...New here on twitter...welcome me 
p,"@Malosa82 Yay, you're going to London too "
n,"I cnt believ da tickets 2 r.kelly are sold out,dis world is so cruel "
p,woo! my Granddad turned 90 today!  to celebrate he &amp; my nan are going out to someone else's 80th b'day party 
p,@petite811 ninang!!!!  tama relax mode. for now... hehe! missing all of you!!! see you in 2 weeks God willing!
n,@The_Reviewist That's so sad. 
p,@VeganWoman like your pic lady 
n,@moburns67 i might keep it in our new car but our other car has a DVD player so i don't get any choice in what we listen to. movies only. 
p,"only one more day til the mtv movie awards! can't wait for the new moon trailer! and as always, andy samberg will be amazing "
p,ANOTHER MOKONA IN THE FAMILY 
n,@whoisSarahWood why you in bad mood hun? i still have a headache from yesterday 
p,Got the air on and my belly is full. I think I may take a little nap. 
n,@Si_za hahaha thanks!!   I'm at work right now so yeah haha I'm a little bored haha but it's ok 
n,going out to see a movie. Weekend is half over 
p,is going downtown for the game regardless... I'll be in a sexy boot 
n,"Well, I'm watching the TV at this moment ;) But, I not find my favourite program. :S "
n,doesnt feel good 
p,@nikki_morris ~ over in the Eastern part of the US.  It's 3;29 am. I can't sleep. WTF. PLEASE God save the &quot;king&quot;  
p,@timothyleblanc- can't be feeling too spiritual if you're texting in church 
n,"This is odd. I'm the only 1 awake right now, that's rare. I'm a little scared  shhh what was that? Did u hear that? Ohh no! Shhh shh"
n,There is a baby cardinal fallen out of its nest. I dont want to get attacked by the mom bird but i dont want the dog to get the bird 
p,Just ate a hearty lunch. Still prefer Western food above all else. Thank You God for creating fish and chips. 
n,Finally getting started on homework. Boo school. Where did the weekend go? 
n,New iPhone software available today - O2 not got it yet 
p,enjoys sleeping a little too much at times 
p,@iankath Who's Lisa Curry &amp; Grsant Kenny??  
n,@ttttorie stop bringing back tasty memories. i miss zaxbys 
n,@chelseasuch dude i missed it 
p,"@HarlemWriter - Let's hope it's the well dressed, nicely coiffed, pumped and focused Serena that takes the court today! "
p,getting my 2010 mazda 3 on thursday. sooooo excited 
n,Up already 
p,so excited about tomorrow. and life in general. 
n,"@LOLunavailable I chose to chat instead of study for gov, and now I have to wake up in 6 hours and still have to study gov. "
p,can't believe how much i fit in this weekend. all domestic organisation and budget planning. i love the feeling of control! xxx 
p,@john_lafemina nice!! Sounds like it will be fun 
n,is glad she only has to get her kids up 6 more times before summer vacation!  Time to get ready for work 
n,@sixuntilme I am eating some cake wright now &amp; my b.s is up to 500 
p,http://twitpic.com/6pd6h - my 18th birthday present 
p,Wohoooo - the sun is shining now! 
p,Heading into work and then going to the Dbacks game after I get off 
p,@RASHAUNWILLIAMS  u aint heard that song called &quot;LOL  LOL &quot;?
p,"p.s. i have a Joe Jonas Camp rock poster on my nightstand, &amp; when i cover his head with my phone...i get service "
p,http://twitpic.com/6sqj6 - These r so itty bitty. Perfect snack size n tastes like real mangos 
p,@ckellyireland7 how's the zebra nails? 
p,"my computer crashed, but i'm back :B i am twittaddicted "
p,"I Love my DJ's ---great night . Can't Hardly Wait is on MTV , exciting "
n,I'm so lonelllyyy. I have nobody. To call my ownnnnnnnnnnnn oooh. 
p,This is my good morning tweet 
n,i feel like eating ice cream. but i have none 
n,"my remix of busta rhymes-gettin arab money aka getting asian money , was offensive to becky "
n,"Just ran over a squirell, "
p,@MusicADdicts u know i know how y feel boo 
n,Thanks Tekzilla for reminding me about the #squarespace iPhone giveaway. I think I forgot yesterday 
p,@spazzticshana that would be because your a cool kid 
n,Why am I not poolside? 
n,MISSED THE HILLSSS!!! 
p,@Bowlinmaster  Then let's go to Vegas! The hotel has a 64 lane center and a ton of Blackjack tables!  There are connecting flights frm ATL
n,@DavidArchie oh my gosh r u still in NY? Probably not 
n, almost time to leave.
p,"but to watch a Indie flick after 2 years away from the cinemas, feels good. "
p,just got some music from @ladygaga @katyperry @ftskofficial @mitchelmusso @taylorswift13 and more from itunes! 
p,@StephORama Welcome back! Sweet Dreams. 
n,"Awww shit, this nigga playin hooky from work??? Damnit, too many ppl in this house "
p,@frakeetta...thanks...it will be over soon!!! how is the fam....when can i come visit and relax in the nice texas weather? 
n,Still ill  going to the doctors later. I really fancy tango
n,@sadbuttrue OS 3.0 is not likely to be available until around 6pm UK time I understand.  
p,Making Life less complicated for all our members 
p,"@pfischer With a number 6, I'm going to have to change my vote to 6. Best of both  Good job."
n,Can anyone outside the UK send me a gmail invite? @ googlemail sucks 
p,@LittleLaura  good !
n,@amandawilk106 i know   she shouldn't be hated just for who she is dating! she's been nothing but sweet to his fans!
n,my finger hurts and tomorrow is going to be utterly depressing. 
n,@RitaDLewis Because my head is pounding....This advil is just not working... 
p,Had a nice weekend  shame i had to fuckin come home to this
p,http://twitpic.com/6hpzw - My dog  destroying another toy
p,"This is what I'm sending to the seller. Kind, but firm "
p,@thaaisouza Hey! Lembra de mim do show de ontem? Danielle 
p,@urbanvox lovely 
p,just woke up to my mom screaming joyyy. today is a vey lay-down-in-bed-and-do-nothing day 
n,Having an argument with the our big printer...    Printer 1 - Joe 0  Damn thing 
p,@itscharrr that's what I did yesterday..for the same reason 
n,"no joke, i think im dying. Random migraines, eye and arm spasms, and i feel like hell... "
p,@danitosupreme Why did the date on the 14th stretch your 1st date assumption to the limit? Drool? Third eye? In 140 chars or less 
p,I'm weird. Deal with it. 
n,@cassidymoomoo lol.and they came back 2days ago and swam in there pool yesterday 
n,Science of fear is awesome! Missing #tempertrap live! 
n,@heynadine i know why i always miss your live shows cos they are on at 1am in the uk 
n,"There are 3 things on my mind that I want to buy.  One is about $2,000. One is about $1,100, and one is about $1,000. I only have $2,000. "
p,MY HIPTOP IS BROKEN!!!! OMFG SO PISSED! BMTH was AWESOME though 
p,"@lifeinflux it was the sharks, not dori who sid this... Geeze try to pay attention "
n,is worryed about my friend....i hope he dont do anything silly 
n,I have a fever. FML how am I supposed to take my final feeling like this?! 
p,@BelongInGeelong she sure does!  Infact unless you look close you wouldn't know she was missing a front leg!
p,Watching 'red eye' on BBC1. Love this film 
n,"@GarryLyon Unfortunately, my (happily) cross-coded friend, we seemed to have lacked in the 'ticker' dept so far as well! "
p,@AussieGal999 good to see there r ppl out there who know less is more 
n,layin down for the evening...I miss my honey 
p,"Apparently I've missed quite the active morning. Ok, will drag myself out of bed finally.  #thatswhatilikeaboutsundays."
p,@HydroChic Yep that probably was me! Sorry you had to wait so long!  My boys are like hobbits... they want 2nd breakfast &amp; 2nd lunch. lol
n,@thisishanasays I MISS YOU SOOOOOOO MUCH 
n,"@michelleflores Michelle, I slept for 11 hours last night. I'm still stick with this fever. "
p,"@TonyWade French and German keyboards do have them, why not the English ?  Can't help you then or you have to write your tweets on ..."
p,"@HellaSound i dont share links, i share the love man "
n,last day of school... 
n,@drewseeley too bad your not performing with them.  glad you had fun!
p,@hkk0405 it's ok I am tooo! Let me know when you are coming back in town 
n,house hunting 
n,"@sweetstuffs hun, at one point im so fragile and vulnerable .. i need my bestie - it's u "
p,That Exam Was Easy  Very Chuffed  Tweet 
p,@petrah Thanks 4 the follow back.  Nope reading Dutch is getting easier &amp; easier.  
p,@Alltattedup28  yeah you
n,Had a great shoot this morning with Mia....the rest of the day has been a blur. I'm sleepy. Definitely not a morning person anymore. 
n,Workout done.  Time for a quick stop at the grocery then to work  well actually work isn't bad at all. But not the same as a weekend.
p,Morning! Weather is better today! Just straightening my hair 
p,"Great find!! Pineapple upside down cakes. Yummy, found in the freezer section of Costco. 8 single serving cakes in a box. "
n,I want my hair back 
p,@naomidunne you know where the #Burrito train station is 
n,brr chilly with only one person in the house 
n,@FSOnline Do you know if they'll be airing the GP events on TV this upcoming season?  Last year they didn't.   I hope they do this year.
n,going to bed now. it's 2:14am. i feel very sick. 
n,@gvegas864 I tried doing this the other day - bt it didn't quiet work out. Plus I had the headphones popping out every second 
p,@macyfouse it's fun 
n,@Dolphz no straighten it to make it longer. so by the time it grows longer i can curl back. i want my old hair  haha.
p,"@FlakintheBox that's fine, whatever you need to do to make it work.  You know 3D better than I do "
p,Watching Season 3 of How I Met Your Mother 
p,Starting to get art back for the new album... Lookin pretty spiffy.... 
p,"morninggg!  off to get myself an education, or something like that ;) ethan babyys laters &lt;3  tweeet tweet bbydolls."
p,@Nickyyy92 wasnt your birthday only a couple of days ago 
p,the beach is gorgeous tonight!!! Full moon lights up the sky and the water glistenss 
n,@gdog20 Well not quite everything... 
p,can't read my pokerface  doing some art work listening to radio one!!
p,is uber excited for the MTV Movie Awards &amp;&amp; the New Moon Trailer!  team jacob all the way.
p,"@MissMileysFan1 Yes.. It's okay.  You mustn't tell something. I am not allowed to say the personal facts, too. "
n,@tarushikha awwwwwwww i miss inox at pune   theatres here aint tht good
n,"@xbllygbsn baby, whats up? "
n,just woke up from a bad dream - i dnt feel right 
p,Done my last day of High School!!!  Just have to survive exams :S
p,@cllecr Sounds like fun. Tweet pictures of your cache adventures! 
n,"@domflowers lmao i think my nose is burnt too  when i scrunch it up, it hurts."
p,@newbornrodeo aw nice  have a safe flight
p,This is who I got to see at Billy Bobs tonight....what about you?  http://yfrog.com/5ep0ij
n,@pastorying @eugenehor We might need to resched our meeting... we have not discussed the plan for the Discipleship (MAP) Conference. 
n,Being sick really blows  ...
p,Can I get a rum and coke without the rum? Top that off waiter. I am talking to myself.  It happens!
p,@allisonlikewoah we are so as cool as you!  we have a copy and we are still annoying the walmart staff 
n,"@Dame_Kelz Yeah, it really does hurt and suck "
p,@EA_2POC Welcome to Twitter. I am sure you will do a great job as Lieutenant CM. Congrats again 
p,@calvertdrivein most likely the other half wouldn't appreciate that... LOL! 
p,It's my birthday today  Running the mile tomorrow ughh. But then choir concert 
p,Daddys Gone........by sugar  xxxx MM â« http://blip.fm/~7qna8
n,"@DonnieWahlberg - Again it came up &quot;Look 4 Donnie&quot; Poor u r u in need of a hug   http://twitpic.com/6e0vw. It wont stop, beep, beep.LOL"
p,shares http://tinyurl.com/r6a3p9 (My new Kicking Pinay blog post)  http://plurk.com/p/tqk8y
n,"@nxnefest lol, well there goes any chance of getting in "
n,"@Nickinoo85 ... my NEW, not even two week old computer wont read CDs anymore! .... i dont know what ive done "
p,"#myweakness  my husband, chocolate, and a really good book "
p,is loving the sun still  get my puppy in 12 days woohoo 
p,@Mickeleh I'm thanking you for the heads up. 
n,Just had a very intricate dream about warring people with superpowers. I wish I could go back to sleep and not get ready for work 
n,"@iambriangreen nevermind, i just noticed that's just vista. "
p,@stacymagallon  are you taking the train/bus down there?
n,photoshoot cancelled    I'm totally gonna go outside and start punching raindrops in the face.
p,@RachaelPhillips we got beaten... but less than they were getting beaten without me 
p,"Driving with 1 contact= bad, not recommended. Safely back at McClay library and able to see "
p,"Well thanks to u @adrence, I'm #SMILING so bright that it's drowning out the sun!!! "
n,I miss my brother!!! He's been gone 4 a week 
p,@woosang ZOMG buy a few boxes of it 
p,@matthewmoloney it will give them a better chance but can't really see it working either. Got my fingers crossed for Lewis though 
n,@da_riddlah I have no1 to dance with 
n,Doing lots of boring school work that needs to be in tomorrow 
p,"Photo: My best friend, (We have Dougie Poynterâs plectrums in our mouths) I love her  http://tumblr.com/xko1z7hlj"
n,@elnax at least *someone*'s laughing 
n,a person cant take a decent nap... 6 txts 5 missed calls &amp; like 4 or 5 bbm messages.. i was only sleep 4 a lil bit 
p,"@IrishCR Bet on the Final, Get ï¿½25 cashback if your bet loses  http://tinyurl.com/qhoq8j"
p,"@kevindeleon i try to avoid them.. at least get outside with them, but not this time. blech. i'm past them now... so it's all good "
p,I wanna run away to New York 
n,My house here has an echo now  Its scary&amp; depressing  Heading to bed shortly exhausted and drained...Its more in the head than anything.
n,@ Grateful_Gurl Rothbury is going to kick ass! I wish I was going  I just got back from roo so i'm too broke. it sucks!
p,@JacobLovie so I've 2 more to get - But that's me in Honors   what subject is your final exam. i miss school exams!
n,@lomeli09 i couldnt respond cuz i maxed out 
n,"awesome thunderstorm raging here. pitch black and lashing it down. Mains has blipped twice, must get a UPS "
p,MTV movie awards! 
p,@_Gre I appreciate your attempts to make me accept that ticket but I'll keep on refusing it until my death  with love vicki?
p,@moneymarknyc @daydreaminmogul dope! thank u guys 
n,@TisdaleSmiles heey! im gooodgoooood. Yea i know! ME TOO! 
n,@DariaBK .... lucky you... we still have the international management left... 
n,"@gabebondoc Gabe, next time you have a BlogTV show you have to let me know through twitter, 'coz I just missed it "
p,"@sageeb obviously, its all my fault. everything is. always. "
p,@wendyldavis Almost 8 years research which isn't that long compared to that of others 
p,@Boyislost I've def missed you! 
p,@sophiasway I agree 
n,time to get finger re -broken 
n,I lost my retainer   no support
p,is making her mother make her scrambled egggggggggggggggg 
n,@MrsAtwood ummmm not sure since I think it had a new name last time I was there. No idea. 
p,"@Quillers Awww, thanks Sally  I'm ok, just didn't get much sleep last night... Tossed and turned all night!"
p,"@John_Fogerty Hey, nice foto  My breakfast is 12 hours ago. Many greetings from Germany."
n,@katyrullman This is why you need to not be over in the Old World. I misses hanging out and being awkward with you 
n,@xashxk i miss it terribly  is it important?
n,9:30PM! So I asked my teacher if I had to speak about my project and she said noo! I am so happy. I might have spewed up! 
n,@torliad NICE! no but the more recent ones allow you to play others if you do though i bet it will slow the computer you do have 
n,Gosh! Macys doesn't have stuff for skinny people anymore; I can't even find an XS belt for my outfit. 
p,@mitchelmusso - i'm listening to your song ' Hey ' right now! It's nice!!!  I love &quot;Walk Away&quot; Too!! =D
p,O.O  whats that ? 
n,"@tommcfly I've never been in any favela, but it's so sad to know that there's people that live in a underworld "
p,That's the latest I've slept in for a long time! Watching Match of the day in bed 
n,"@RXanthophobia It was easy, thank god! i'm really worried about history though, i need to go shopping with you &amp; sara "
p,"@KeepinUpWKris hi Mrs Jenner, are you a talent manager? I'm 15 and really need a go getter like you PLEASEreply   thanks johnny z"
p,@trinsgarcia CIBO off the top of my head.  but they have really yummy pasta in roadhouse grill. HAHA 
n,Going home tomorrow... on mothers day. Voy a extraï¿½ar NYC 
p,@cckbrighton this morning. Then on to Croydon and finally Wales for a few days holiday 
p,http://twitpic.com/6rwpc - i love you 
n,i cant sleep feel to ill 
p,listening to the fame.. the entire album is such a hit! i love it .. go @ladygaga 
p,@David_Henrie DAVID CALL SELENA!!!!! hahaha ya know I could be your very own personal assistant 
p,@chondapierce Great show! Glad to meet Jack.  Hope you all made it home safely!
p,WiDE AWAKE @ 8AM ON MY DAii OFF ;; WHUt tHA hECK?? GEt At ME 
p,haha- hey syd mine is candidcamer. yep going out of town  miss yal and check email!
p,@nileyfan2009TV aww you sent love to me...thanks 
n,ok will be back goin Orson now i fake dont wanna go 
n,@wwecodyrhodes Must hurt  Get well soon Cody! BTW: Your match against Primo was really great.
p,getting ready for my first day at my new job 
p,"@survivingstores Heh   I know... if anyone DOES claim to remember that stuff, they get to come teach it to 'em!"
p,@amylovatojonas Oh yeah!! I forgot about those  lol
p,Thanks so much!  @Tonyajc @twhtan
p,things are looking slightly for the better 
p,The Creeps: my very first purchase from the iTunes store. Yeeha! I love this app 
n,"wonderful week end , now time to work a bit ... "
n,bout to tke a shower and lay it down alone  lol so good nite all
n,"Oh boy Angela of 'Frangela' is gone from I'm A Celeb,will miss ya babe,you were funny as hell  http://i43.tinypic.com/2rc8v12.jpg"
n,@mandystevens damn . mhh there are some concerts here in germany but not around my place ( so prob. no  but i'd really love to
n,Brick breaker makes my phone freeze up this makes me frown. 
n,I hate early wake ups 
n,I think i need to stop showering during the day here. Never any hot water. 
n,I am just sitting here doing nothing but work on my computer! 
n,"@lovelessandmore oh breathe in the lovely fresh air! I wish I was in the countryside, but I have to revise and it sucks "
n,The suicide bombing in Iran is so sad 
p,@xxhazelxx in it lovely  it scorching here in wales - about time eh! have a great day 
n,@morgansp12 lol xD I don't like if it hurts my legs. 
p,YEY!! I made it... I've change my background... I am so lost without @jordanknight looking down there... He is my LIFE  Hihi
n,homework. 
p,Walk was good 
n,I really miss my dog  and this is only my first day away.
n,chewing gum being bored together and ian ruined the texas surprise 
p,Catched with Dean because he want to pay the pizza's..but i won 
p,got home. Saw my bestfriend Sandy awhile ago. Made me so happy 
p,@codesuccess Agreed. You alone can control your attitude/thoughts. 
p,Fish fish fish fish fish fish fish 
p,"Shoot, are we all done with the mustard jokes now? "
n,"@LizJonasUK Please tell me is Kevin trends. I Have to go, it's midnight in here "
p,@KatieWasAllLike hahaha my favorite place 
n,My iTunes Library has seen every major iTunes release; moved from OS 9-&gt;XP-&gt;OS X; 5G iPod-&gt;iPhone-&gt; iPhone 3G. It's time to rebuild. RIP 
p,@jennyjenjen That is definitely not a bad thing. I think he is gorgeous even with him crazy hair and tattoos. 
n,@Lara82 It's a sick joke. 
n,I miss my sis @kamyisonfire 
n,Meetings changed my mind 
n,@dougiemcfly I wish i could be you 
p,A couple of new blog posts to check out if you are bored out of your MIND  http://bit.ly/pZ8Wu
p,"@quizwedge No bigee.  If I couldn't resist, I'd simply not answer the question.  Just had to give you a hard time.  "
p,"@_ryssa hmm, maybe I'll put it on in the background. "
n,"@emijanie I know, the latest pics in Grazia of her are a little frightening "
p,@HalsBestFriend Oh you think? :O thank u so much. &lt;3 I love Britney!  &lt;3
p,"No, tonight turned out quite good. I think i have a date monday "
n,@D_Superman thank you ... it just sucks today 
n,Does any1 out there knows where i can upload parodied music videos? D copyright holders r quite strict &amp; youtube continues 2 del my vids 
n,@JoeiBoots Hey youuuuuuuuuuu! i cant sleeeep!!! 
n,"I'm trying to figure out how to post music, but I can't figure it out!  "
p,Going to aunt and uncle for a while..     Xxx
n,Omg!! Okay so u wanna know how broke I am?? Watch the katy perry video! That's me!  hurry up payday! I need you!
p,"new to the twitta, someone help. "
p,@ruby_gem it might be ollie the twitterific bird 
n,"Currently 5.55 am. And I'm up, why? "
n,"@mmitchelldaviss http://twitpic.com/4bom7 - Something like that would happen to me! Only me, "
n,not feeling all that wonderful today. damn migraine... 
n,Just got in from a meeting.. these jokas almost made me cuss!!!  but I got my oil changed and my Fruit and Yogurt Parfait so I am good!!
n,wondering if my local Borders is going to make it. Lots of bare shelves... It makes me sad 
p,@flyddw Never did the Hackintosh...put Win 7 on my Dell Mini and never looked back.  Its that good 
n,@jazred87 lol yea I wanted to come back sat but I can barely afford the sunday flights.. i never get money for my bday  what is outrage?
n,of to give letting agency the last of my pennys 
p,"zkusim &quot;ohnout&quot; normu CSN ISO 690 a CSN ISO 690-2 o bibliografickÃ½ch citacÃ­ tak, abych mohl citovat Twitter. Budu PRVNÃ? !! "
n,I don't feel so good. 
n,Today is going to be busy D: I miss @AnIndelibleLove 
p,Starbucks perfect weather and barnes and noble  do ta do
p,"@soulboykirk Gotta go, good sir. Late on this side of the rock. Chin up, and all that stuff, my friend. Later, Kirk. "
n,bah its too early. i hate having to get up early for work. 
n,I miss you dad 
n,@KatherineKoutur glad I am not the only one...I need to get in gear with cleaning   blah
n,@drayvujacic lots of things 
p,"Ebaaa Vo praticar boxe, nas fÃ©rias  thnks thnks"
p,"Ok, I'm to bed. Weekly hair appt in the morning. Preparing for glam-ness is always fun. "
n,too much sadness on SYTYCD  
p,@IAMTHEMATRIX  ahahha i got a nice ass i have to admit the belly tho need to go.. hittin the gym tomorrow again 
p,I've decided: i will revise solidly for 2 days and reward myself with Big Brother tomorrow night  Guilty pleasure.
p,Check out @mikeanywhere 's website for beautiful photos: http://www.mikepatterson.com/ very sound bloke 
n,Not feeling to good. I wish @Zabriell was here wit me. 
p,Hookah  with nigg nd the funnest  gay couple i ever met.    
p,@LuukChristiaens Well I'm happy then 
p,@DarkColors7387 We need to have another smartie food fight haha and re-do the CJ fanclub board 
n,@Becky_x_x_ I don't think they did thank them because on the Niley thread they said they didn't thank anyone like that 
n, i hate thunder... i woke up really scared just now cus of it.
n,The power is out in the village 
p,I really want to see UP. 
n,on way home from girls nite can't believe it's over ALREADY  
n,i think bwian got me sickieeee 
n,I aint going to the movies no more 
n,"@oliverthring OMG! That sounds painful. Dentist gave me antibiotics, was rather ominous about it if it doesn't help. "
p,@notmyself was my ego bruiser at #codecamp.  Tyvm!
p,@VanjaSkyCharm ofcourse it will...  xoxo
n,"waiting for a summer-job reply.. please god , i dont want to sit at home this summer "
p,"Sorry I haven't been on in a month, busy and.... I forgot  my password. "
n,I say I am dreamer...I am not sure where are my dreams heading towards! 
p,@LizKreutz So I can order now 
p,#iremember rollin up one pant-leg so you could see my drop socks (evenly ruffled by the way!) 
p,@JonathanRKnight right you are!!!! 
p,"@limecello I would like to write something wholesome, but come on...just look at the people I associate with. "
n,so the boy dissapointed me and we're not going to d.c. 
p,@wiggyndc Let me know what else you see 
n,Just got in to St. Louis! Gonna be hard to practice with no clubs though! 
p,Social day ahead. Industry networking BBQ in West Hollywood today. Ya gotta love a Saturday schmooze fest ala casuala. 
n,I feel like cryin. Fuck! Miss my baby. Want my smile.  {WeDoItLikeItsLegal&lt;3}
n,"once again, more work on my re ass.  "
n,Conference blogging dbate cont. on Genetic Future blog.Who knew it would b this interesting? Missing @girlscientist   http://bit.ly/13XTiW
p,@kjarrett our kids found http://www.chatzy.com/ a useful tool for illegal idea &quot;sharing&quot; during an online test 
p,@shaherose tether with cell phone? 
p,yet another amazing day  NOT .
p,@coldplay We love you guys 
n,cant belive how gawgus the weather is and i cant go out cus my son is ill 
n,@MrKhaotik ima have a much tamer weekend than yu lls*...I haven't been with sorors and frat since I left school 
p,"@PaulHarriott It's me. Bit on the ass by a swan. Beaver hunting, turtle counting, owl watching me. "
p,"new year tomorrow =| chemistry first, mr sinclair, then biology, mr hastings =|=|=| going to die, but i have a mentor period 1st instead "
n,"bought new hair dryer for a steal,wanna go home &amp; use it!i'm still annoyed i cant find my new Rowenta elite model hair curler! "
n,@kirikitten you didn't get a ticket?  
p,"@lilmissquixotic http://twitpic.com/4elm2 - black + red, awesome color combi! "
p,@Niccyrotman miss you too hunny 
p,@kellbell68 have a good one 
n,So ma woke me up early and said she wanted to be ready to leave in 45 min . . Its been over an hour now . . And im still sleepy 
n,"@mileycyrus i cant vote, and i dont know why "
p,@Shazipan Haha that's all good. Glad you like it.  I was just worried I hadn't done it and had only imagined I had.
p,Just doubled I'm the chip leader.... (just practicing  ) .... Gonna be a long 17 days
p,and i welcome you winter 
n,(@ashlux) Note to self: stop the wiki bot from running in weekends. @faa_ifp stop spamming the fact that dev/test/prod is down. 
n,i want this http://tinyurl.com/pq2srs 
p,"@nick_carter lol, i will rub it better "
n,"@gillianbritt I went to the first one. I would have gone this year, too, if it wasn't on a Thursday. "
n,Ughh! I'm working 
p,"With the kiddies at Uptown, feels like it's going to be an awesome day  happy mother's day momma!!"
n,"is going to need to go into Bristol tomorrow I think, I need a sodding cable for my headphones   Gah, it's bent and one side don't work"
n,Things /seem/ OK atm - though I know they're not 
p,"Watching Previously on ER, amazingggg!! "
n,@ryanhavoc ditto. It's like jet lag 
p,"@MrMarques27 word, buddy! move this ish BACK 2 NBC and let marv albert call the games "
p,"#TweetlancersCV brazilian creative photographer looking for beauty, fashion and portraiture comissions "
p,ahhhh... the drought has ended  &amp; visited my 1st sex shop here.. lol
n,Geeze 2 hours till I get out 
n,i have a 2hours history exam tomorrow - i so don't feel ready 
n,"always tired, always cold and always have a headache.  cant wait for vacashun..and the frickin g1 update..i want onscreen keyboard dammit!"
n,@BrandyandIce tis still going.....although chelski are winning 2-1 
p,"Alright, time for me to skidaddle. Wish me luck, and flirtatious glances from rugged, or sweet looking gentlemen. "
n,@daftatom No! How upsetting 
n,gotta go to the job centre today  ill make sure to take lots of pointless pics
p,is tired from city fest and stayin up all night...gone 2 take a nap then goin 2 see the hangover 2night!! 
n,one tree hillll! this episode is soooo sad 
n,I wanna be with my baby na 
p,@LeslieDYoung  Miss Young Good Morning 
n,@DKHOTOPIC aw 
n,"@LisaTalkingTots  sorry  i asked my Oh who is a joiner, he deals with them a lot!! he said thats really all you can do"
n,@asoldier thank you ..... i guess well have to wait and see  just hope i dont end up as an unanswered email 
p,@HappyHousewife By the way I think I/we are getting the WP stuff figured out.Don't think it will be as bad as I thought. 
p,off to tampa! 
n,@quianilovesyou i feel hurt 
p,am happy with making. 
n,@mag_nation thats terrible!!! i noticed they've also cut their business hours which is SUPER inconvenient 
p,"@Ice_Empress Hey, where is that little Pet of yours tonight? I hope I didn't scare him off. "
p,"@Chawtfish haha, i ROCK BAYBAY!! Sleep well Goob "
p,@aubreyoday: elton john! Great song.. Just mastered it on the piano! 
p,"@Ditto_Lovato sorry, courtney's married to Kevin. u can have Garbo "
n,back to revision time 
n,"Made it safely to China. Apparently, I'm blocking from reading my own blog.  http://ff.im/3pkJC"
p,@PauloSousaYT check you'r email inbox boooy! and read the one that says: A BIG BIG Fan Mail  would mean A LOT!
p,"@islesrebelangel aww you are sweet!  thank you!  it's a beyotch to straighten.. it's naturally curly. a bit longer now, too.  "
n,Has to go get a shot 
p,@chatwitteddy Awe nah that's mean. I've just got an odd sense of humor. I love you 
p,Watching Spike from Buffy speak in an American accent seems strange to me...just used to him speaking pommy 
p,"@ddlovato &quot;mothers, othres and jonas brothers&quot; That's amazing, i like it  LOL "
